陕西,#genre#
辽宁卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8

北京卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8

广东卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8

湖北卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
山东卫视 12M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
深圳卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8

重庆卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8

安徽卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
黑龙江卫视 3M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8


经典明星电影,#genre#
李连杰,https://isus.cc/php/huya.php?id=11342390
李连杰,https://live.iill.top/huya/11342390
成龙,https://isus.cc/php/huya.php?id=11342386
成龙,http://cdn.jdshipin.com:8880/huya.php?id=11342386
成龙,https://live.metshop.top/huya/11342386?cdn=txcdn
周星驰,https://isus.cc/php/huya.php?id=11342412
周星驰,http://cdn.jdshipin.com:8880/huya.php?id=11342412
周星驰,https://live.metshop.top/huya/11342412?cdn=txcdn
吴京,https://isus.cc/php/huya.php?id=11602041
甄子丹,https://isus.cc/php/huya.php?id=11352935
刘德华,https://isus.cc/php/huya.php?id=11342424
邱淑贞,https://isus.cc/php/huya.php?id=11352949
刘德华,https://isus.cc/php/huya.php?id=11342424
周润发,https://isus.cc/php/huya.php?id=11342387
周润发,http://dns.yiandrive.com:15907/huya/11342387
周润发,http://cdn.jdshipin.com:8880/huya.php?id=11342387
周润发,https://live.metshop.top/huya/11342387?cdn=txcdn
甄子丹,https://isus.cc/php/huya.php?id=11352935
周润发,https://isus.cc/php/huya.php?id=11342399
邱淑贞,https://isus.cc/php/huya.php?id=11352949
吴京,https://isus.cc/php/huya.php?id=11602041
林正英,https://isus.cc/php/huya.php?id=11342421
洪金宝,http://huanqiuzhibo.cn/manifest/huya.php?id=11279251
洪金宝,https://isus.cc/php/huya.php?id=11279251
王晶,https://isus.cc/php/huya.php?id=11602058
王晶,http://cdn.jdshipin.com:8880/huya.php?id=11602058
强森,https://isus.cc/php/huya.php?id=21059581
强森,http://cdn.jdshipin.com:8880/huya.php?id=21059581
斯坦森,https://isus.cc/php/huya.php?id=21059588
斯坦森,http://cdn.jdshipin.com:8880/huya.php?id=21059588
西游记,http://dns.yiandrive.com:13571/huya/26355861
西游记,http://cdn.jdshipin.com:8880/huya.php?id=23735126
三国演义,http://dns.yiandrive.com:13571/huya/11602081
爱情公寓,http://dns.yiandrive.com:13571/huya/11336726
爱情公寓,https://fmbox.cc/huya.php?id=11336726
爱情公寓,http://cdn.jdshipin.com:8880/huya.php?id=11336726
家有儿女,http://cdn.jdshipin.com:8880/huya.php?id=11352872
家有儿女,http://dns.yiandrive.com:13571/huya/30523326
家有儿女,https://fmbox.cc/huya.php?id=11352872
魔幻手机,http://dns.yiandrive.com:13571/huya/11352966
活佛济公,http://dns.yiandrive.com:13571/huya/11342400
宝莲灯,http://dns.yiandrive.com:13571/huya/21059563
乡村爱情,http://dns.yiandrive.com:13571/huya/30080255
猫和老鼠,http://dns.yiandrive.com:13571/huya/11352879
港产搞笑,http://cdn.jdshipin.com:8880/huya.php?id=11601960
港台警匪,http://cdn.jdshipin.com:8880/huya.php?id=11352886
推荐合集,http://cdn.jdshipin.com:8880/huya.php?id=11602041
宇宙合集,http://cdn.jdshipin.com:8880/huya.php?id=11342428
怪兽合集,http://cdn.jdshipin.com:8880/huya.php?id=21059577
武侠合集,http://cdn.jdshipin.com:8880/huya.php?id=11342427
哆啦A梦,http://cdn.jdshipin.com:8880/huya.php?id=11601963
蜡笔小新,http://cdn.jdshipin.com:8880/huya.php?id=11352970

虎牙斗鱼,#genre#

虎牙_邵氏,https://isus.cc/php/huya.php?id=11342435
虎牙_硬汉,https://isus.cc/php/huya.php?id=29465873
虎牙_漫威,https://isus.cc/php/huya.php?id=11602034
虎牙_宇宙,https://isus.cc/php/huya.php?id=11342428
虎牙_怪兽,https://isus.cc/php/huya.php?id=21059577
虎牙_武侠,https://isus.cc/php/huya.php?id=11342427
虎牙_警匪,https://isus.cc/php/huya.php?id=11352886
虎牙_罪犯,https://isus.cc/php/huya.php?id=11352962
虎牙_枪战,https://isus.cc/php/huya.php?id=21059579
虎牙_海盗,https://isus.cc/php/huya.php?id=21059595
虎牙_赛车,https://isus.cc/php/huya.php?id=11279247
虎牙_推荐,https://isus.cc/php/huya.php?id=11602041
虎牙_救援,https://isus.cc/php/huya.php?id=21059594
虎牙_热血,https://isus.cc/php/huya.php?id=11352934
虎牙_盗墓,https://isus.cc/php/huya.php?id=21059552
虎牙_贺岁,https://isus.cc/php/huya.php?id=11601971
虎牙_玄幻,https://isus.cc/php/huya.php?id=11342414
虎牙_谍战,https://isus.cc/php/huya.php?id=21059585
虎牙_战争,https://isus.cc/php/huya.php?id=21059592
虎牙_喜剧,https://isus.cc/php/huya.php?id=11352877
虎牙_港片,https://isus.cc/php/huya.php?id=11602043
虎牙_国产,https://isus.cc/php/huya.php?id=11352973
虎牙_小鬼头,https://isus.cc/php/huya.php?id=11352963
虎牙_八点档,https://isus.cc/php/huya.php?id=880261
